stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
26,0.5,3.0,25.265733800000135,,25.252096200000096,25.265733800000135,25.766725700000052,25.766725700000052,25.766725700000052,26.065829800000074,26.18422910000004,left,-3.0,1,1,0.4088010000000395,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
27,0.5,2.5,26.199032800000168,,26.18439699999999,26.199032800000168,26.69873890000008,26.69873890000008,26.69873890000008,26.99910490000002,27.20152710000002,left,-2.5,1,1,0.4857633000001442,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
28,0.5,2.5,27.215744300000097,,27.201699800000142,27.215744300000097,27.71610980000014,27.71610980000014,27.71610980000014,28.016661399999975,28.1521338,left,-2.5,1,1,0.42270950000011,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
29,0.5,2.5,28.166558200000054,,28.1523423000001,28.166558200000054,28.666301700000076,28.666301700000076,28.666301700000076,28.96763090000013,29.07339139999999,left,-2.5,0,0,0.4034075000001849,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
30,0.5,3.0,29.097357200000033,,29.07361990000004,29.097357200000033,29.580531100000144,29.580531100000144,29.597304200000053,29.882245300000022,30.3350339000001,left,-3.0,1,1,0.7407221000000845,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
31,0.5,3.0,30.349585899999965,,30.335228600000164,30.349585899999965,30.849415600000157,30.849415600000157,30.849415600000157,31.149445300000025,31.335128599999962,left,-3.0,1,1,0.46835170000008475,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
32,0.5,3.0,31.34971510000014,,31.335322600000154,31.34971510000014,31.84792020000009,31.84792020000009,31.864463699999988,32.147818500000085,32.70060060000014,left,-3.0,1,1,0.8438728000000992,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
33,0.5,2.5,32.71536560000004,,32.70076670000003,32.71536560000004,33.215293700000075,33.215293700000075,33.215293700000075,33.51532710000015,33.70151830000009,right,2.5,1,1,0.46953000000007705,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
34,0.5,2.5,33.71596260000001,,33.70180860000005,33.71596260000001,34.21517719999997,34.21517719999997,34.23196320000011,34.51611460000004,34.85201570000004,right,2.5,1,1,0.6272210999998151,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
35,0.5,2.5,34.88097710000011,,34.852251799999976,34.88097710000011,35.36492969999995,35.36492969999995,35.38138630000003,35.66476929999999,35.78459480000015,right,2.5,1,1,0.4176605999998628,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
36,0.5,2.0,35.798851900000045,,35.78476960000012,35.798851900000045,36.29820370000016,36.29820370000016,36.29820370000016,36.59837820000007,36.68335380000008,left,-2.0,1,1,0.3797684000001027,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
37,0.5,2.0,36.69826520000015,,36.68350610000016,36.69826520000015,37.19903750000003,37.19903750000003,37.19903750000003,37.499793700000055,37.65050169999995,left,-2.0,1,1,0.44681629999990946,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
38,0.5,2.0,37.66507410000008,,37.65066030000003,37.66507410000008,38.16535180000005,38.16535180000005,38.16535180000005,38.464680700000144,38.666881399999966,right,2.0,1,1,0.4937560000000758,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
39,0.5,1.5,38.68107870000017,,38.66706700000009,38.68107870000017,39.16615730000012,39.16615730000012,39.18524090000005,39.482079500000054,39.93470470000011,left,-1.5,0,0,0.7654770999999982,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
40,0.5,2.0,39.94802350000009,,39.93488520000005,39.94802350000009,40.450743399999965,40.450743399999965,40.450743399999965,40.76536260000012,41.00406450000014,right,2.0,1,1,0.5406917000000249,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
41,0.5,2.0,41.030340000000024,,41.00429159999999,41.030340000000024,41.51474680000001,41.51474680000001,41.5337942000001,41.8156183000001,41.8870958,right,2.0,1,1,0.3568029000000479,065588,001,2024-09-11_11h36.14.405,PSY310 adaptive staircase,2024.1.5,None,2024-09-11 11h36.18.590482 +0530,
